last_update,station,city,state,country,latitude,longitude,pollutant_id,min_value,max_value,avg_value
05-09-2026,"Ambazari, Nagpur - MPCB",Nagpur,Maharashtra,India,21.121801,79.04952,PM2.5,21.0,51.0,33.0
05-09-2026,"Ambazari, Nagpur - MPCB",Nagpur,Maharashtra,India,21.121801,79.04952,SO2,11.0,12.0,11.0
05-09-2026,"Ambedkar Nagar, Nellore - APPCB ",Nellore,Andhra Pradesh,India,14.438164,79.966814,CO,32.0,32.0,32.0
05-09-2026,"Ambedkar Nagar, Nellore - APPCB ",Nellore,Andhra Pradesh,India,14.438164,79.966814,NH3,5.0,6.0,6.0
05-09-2026,"Ambedkar Nagar, Nellore - APPCB ",Nellore,Andhra Pradesh,India,14.438164,79.966814,NO2,32.0,34.0,33.0
05-09-2026,"Ambedkar Nagar, Nellore - APPCB ",Nellore,Andhra Pradesh,India,14.438164,79.966814,OZONE,28.0,31.0,30.0
05-09-2026,"Ambedkar Nagar, Nellore - APPCB ",Nellore,Andhra Pradesh,India,14.438164,79.966814,PM10,54.0,69.0,60.0
05-09-2026,"Ambedkar Nagar, Nellore - APPCB ",Nellore,Andhra Pradesh,India,14.438164,79.966814,PM2.5,52.0,55.0,53.0
05-09-2026,"Ambedkar Nagar, Nellore - APPCB ",Nellore,Andhra Pradesh,India,14.438164,79.966814,SO2,18.0,23.0,19.0
05-09-2026,"Amity University, Panchgaon - IITM",Panchgaon,Haryana,India,28.3153,76.9143,CO,23.0,59.0,47.0
05-09-2026,"Amity University, Panchgaon - IITM",Panchgaon,Haryana,India,28.3153,76.9143,NH3,4.0,15.0,8.0
05-09-2026,"Amity University, Panchgaon - IITM",Panchgaon,Haryana,India,28.3153,76.9143,NO2,38.0,237.0,103.0
05-09-2026,"Amity University, Panchgaon - IITM",Panchgaon,Haryana,India,28.3153,76.9143,OZONE,34.0,69.0,52.0
05-09-2026,"Amity University, Panchgaon - IITM",Panchgaon,Haryana,India,28.3153,76.9143,PM10,27.0,500.0,80.0
05-09-2026,"Amity University, Panchgaon - IITM",Panchgaon,Haryana,India,28.3153,76.9143,PM2.5,31.0,500.0,91.0
05-09-2026,"Amity University, Panchgaon - IITM",Panchgaon,Haryana,India,28.3153,76.9143,SO2,5.0,24.0,15.0
05-09-2026,"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,Andhra Pradesh,India,16.9872867,81.7363176,CO,11.0,32.0,21.0
05-09-2026,"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,Andhra Pradesh,India,16.9872867,81.7363176,NH3,2.0,3.0,2.0
05-09-2026,"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,Andhra Pradesh,India,16.9872867,81.7363176,NO2,4.0,16.0,9.0
05-09-2026,"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,Andhra Pradesh,India,16.9872867,81.7363176,OZONE,32.0,76.0,50.0
