country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value,collection_time
India,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",05-09-2026 21:00:00,17.72,83.3,PM10,73.0,146.0,102.0,2026-09-05 16:37:06
India,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",05-09-2026 21:00:00,17.72,83.3,NO2,32.0,115.0,69.0,2026-09-05 16:37:06
India,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",05-09-2026 21:00:00,17.72,83.3,OZONE,3.0,56.0,24.0,2026-09-05 16:37:06
India,Arunachal Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",05-09-2026 21:00:00,27.103358,93.679645,PM2.5,2.0,54.0,23.0,2026-09-05 16:37:06
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",05-09-2026 21:00:00,26.071318,91.87488,PM2.5,79.0,203.0,102.0,2026-09-05 16:37:06
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",05-09-2026 21:00:00,26.071318,91.87488,PM10,73.0,127.0,87.0,2026-09-05 16:37:06
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",05-09-2026 21:00:00,26.071318,91.87488,NH3,4.0,4.0,4.0,2026-09-05 16:37:06
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",05-09-2026 21:00:00,26.071318,91.87488,SO2,6.0,32.0,30.0,2026-09-05 16:37:06
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",05-09-2026 21:00:00,26.071318,91.87488,CO,43.0,64.0,57.0,2026-09-05 16:37:06
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",05-09-2026 21:00:00,26.1875,91.744194,NH3,,,,2026-09-05 16:37:06
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",05-09-2026 21:00:00,26.1875,91.744194,OZONE,11.0,18.0,14.0,2026-09-05 16:37:06
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",05-09-2026 21:00:00,26.10887,91.589544,OZONE,11.0,13.0,12.0,2026-09-05 16:37:06
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",05-09-2026 21:00:00,26.181742,91.78063,PM10,19.0,74.0,42.0,2026-09-05 16:37:06
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",05-09-2026 21:00:00,26.181742,91.78063,OZONE,9.0,14.0,12.0,2026-09-05 16:37:06
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",05-09-2026 21:00:00,26.349082,92.68449,SO2,2.0,16.0,12.0,2026-09-05 16:37:06
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",05-09-2026 21:00:00,26.446912,91.439057,PM10,15.0,72.0,23.0,2026-09-05 16:37:06
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",05-09-2026 21:00:00,26.446912,91.439057,CO,21.0,22.0,21.0,2026-09-05 16:37:06
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",05-09-2026 21:00:00,26.987634,94.636574,OZONE,15.0,47.0,35.0,2026-09-05 16:37:06
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",05-09-2026 21:00:00,26.146529,87.454184,CO,21.0,30.0,27.0,2026-09-05 16:37:06
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",05-09-2026 21:00:00,26.146529,87.454184,OZONE,29.0,48.0,38.0,2026-09-05 16:37:06
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",05-09-2026 21:00:00,25.5626095,84.663264,NO2,,,,2026-09-05 16:37:06
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",05-09-2026 21:00:00,25.5626095,84.663264,CO,50.0,62.0,56.0,2026-09-05 16:37:06
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",05-09-2026 21:00:00,26.80365,84.51954,PM2.5,21.0,26.0,23.0,2026-09-05 16:37:06
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",05-09-2026 21:00:00,26.80365,84.51954,NO2,15.0,48.0,27.0,2026-09-05 16:37:06
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",05-09-2026 21:00:00,26.80365,84.51954,CO,25.0,37.0,31.0,2026-09-05 16:37:06
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",05-09-2026 21:00:00,25.265194,87.012947,CO,20.0,31.0,26.0,2026-09-05 16:37:06
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",05-09-2026 21:00:00,25.265194,87.012947,OZONE,9.0,18.0,13.0,2026-09-05 16:37:06
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",05-09-2026 21:00:00,25.204762,85.51496,OZONE,2.0,2.0,2.0,2026-09-05 16:37:06
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",05-09-2026 21:00:00,24.7955,84.9994,PM10,,,,2026-09-05 16:37:06
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",05-09-2026 21:00:00,24.762518,84.982348,NO2,21.0,28.0,25.0,2026-09-05 16:37:06
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",05-09-2026 21:00:00,24.762518,84.982348,SO2,8.0,10.0,9.0,2026-09-05 16:37:06
